Acharya2013	Acharya2013_01
Aiyappan1960	Aiyappan+Srinivasan1960_01
Aiyappan+Srinivasan1960_01
ARASI
ARDAM
ARIE
ARIE1887-1888_02
ARIE1967-1968
ARIE2003-2004
ARIE2015-2016
Barrett1990_01
Baums2009	Baums2009_01
Baums2016	Baums+al2016_01
Bhandarkar1983	Bhandarkar1927-1936_01
Bhattacharya1991	Bhattacharya1964_02
Bloomfield1920	Bloomfield1920_01
Bose1934-1936_01
Buehler1892_02
Bühler1882	Buehler1882_01
Bühler1892c	Buehler1892_03
Burgess1882	Burgess1882_01
Burgess1882_01
Burgess1887	Burgess1887_01
Burgess1887_01
Burnell1874_01
Burnell1878_01
Chenna_Reddy2008	Subrahmanyam+al2008_03
Chhabra1947	Chhabra1947_01
Chhabra1949	Chhabra+al1949_01
Chhabraa	Chhabra1959-1960_01
Chhabrab	Chhabra1959-1960_02
Cone	Cone2001-2020_01
Cousins2001	Cousins2001_01
Dalal+Sastry1934_01
Damsteegt1978	Damsteegt1978_01
Dasarathi1992_01
DeSilva1970_01
EI
Elliott1840_01
Eltschinger2013	Eltschinger+Ratie2013_01
Falk2013	Falk2013_01
Falka	Falk1999-2000_01
Fleet	Fleet1883_06
Fleet1876_05
Fleet1881	Fleet1881_02
Francis2013	Francis2013_01
Francis2016_01
Franke1896	Franke1896_01
Franke1896_01
Gai1969	Gai1969-1970_03
Gai1986	Gai1986_01
Ghosh2015_01
Gopalachari1941	Gopalachari1941_01
Gopalan1928	Gopalan1928_01
Gopalan1928_01
Griffiths2007	Schmiedchen2007_01
Griffiths+Tournier2017_01
Gupta2008	Gupta2008_01
Hanumantha_Rao1998	HanumanthaRao+al1998_01
HanumanthaRao+al1998_01
Hinüber2001	Hinuber2001_01
Hinüber2012a	Hinuber2012_01
Hinüber2012b	Hinuber2012_02
Hinüber2013b	Hinuber2013_02
Hinüber2013c	Hinuber2013_01
Hinüber2017	Hinuber2017_01
Hultzsch1883_01
Hultzschf	Hultzsch1907-1908_03
IAR
IAR1967-1968
identifier
Kannan2014_01
Khan1969	Khan1969_01
Kielhorn	Kielhorn1896-1897_02
Kielhorn1899	Kielhorn1898-1899_02
Knox1992	Knox1992_01
Krishnan1989a	Krishnan+Sundaram1989_01
Krishna_Rao	KrishnaRao1955-1956_01
Krishna_Sastry1983	KrishnaSastry1983_01
Krishna_Sastry1990	KrishnaSastry1990_01
Krishna_Sastry1992a	KrishnaSastry1992_01
Kuraishi	Kuraishi1926-1927_01
